file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,,
ai_1.py,ai,AI,62.99,6.5,7,38.05,2,76.11,14,14,14,14,6,6,1,,,,
ai_10.py,ai,AI,88.58,3.5,4,25.27,1.2,30.32,20,14,14,14,3,3,1,,,,
ai_13.py,ai,AI,67.3,9.5,10,330,6.16,2032.8,28,23,25,23,9,9,1,,,,
ai_16.py,ai,AI,61.33,4.5,5,152,4.17,633.33,9,9,11,9,4,4,1,,,CC,5.033333333
ai_19.py,ai,AI,89.41,5.5,6,36.54,2.33,85.26,19,14,14,14,5,5,1,,,CC(L),4.133333333
ai_22.py,ai,AI,100,3.5,4,4.75,0.5,2.38,13,9,9,9,3,3,1,,,,
ai_25.py,ai,AI,94.96,2.5,3,38.04,2,76.08,16,11,11,11,2,2,1,,,MI,69.09
ai_28.py,ai,AI,71.41,3.33,4,64.73,4.12,266.99,36,26,26,26,3,4,2,,,Halstead(V):,81.53133333
ai_31.py,ai,AI,72.36,3.5,4,230.62,6.64,1532,29,24,24,24,4,5,2,,,Halstead(D):,2.967
ai_34.py,ai,AI,85.38,4.5,5,15.51,1,15.51,14,11,11,11,4,4,1,,,LOC,15.06666667
ai_37.py,ai,AI,68.3,4.5,5,62.91,3.44,216.24,7,7,7,7,4,4,1,,,Halstead(e),375.031
ai_4.py,ai,AI,68.19,3.5,4,22.46,1.88,42.11,9,9,10,9,3,3,1,,,,
ai_40.py,ai,AI,68.44,3.5,4,20.68,2.5,51.7,9,9,10,9,3,3,1,,,,
ai_43.py,ai,AI,68.7,3.5,4,38.04,2,76.08,8,8,8,8,3,3,1,,,,
ai_46.py,ai,AI,63.02,4.5,5,66.61,3.75,249.78,17,12,12,12,4,4,1,,,,
ai_49.py,ai,AI,53.17,6.5,7,235.53,5.82,1370.36,23,22,22,22,5,6,2,,,,
ai_52.py,ai,AI,60.49,2.5,3,39.86,1.71,68.34,20,17,19,17,2,2,1,,,,
ai_55.py,ai,AI,67.35,3.5,4,89.86,3.75,336.97,7,7,7,7,3,3,1,,,,
ai_58.py,ai,AI,67.98,3.5,4,24,1.5,36,9,9,10,9,3,3,1,,,,
ai_61.py,ai,AI,63.21,4.5,5,82.04,1.75,143.58,11,11,11,11,4,4,1,,,,
ai_64.py,ai,AI,62.98,4.5,5,33.6,2,67.21,15,15,15,15,4,4,1,,,,
ai_67.py,ai,AI,56.78,5.5,6,167.37,4.24,708.87,17,17,17,17,4.5,5,2,,,,
ai_7.py,ai,AI,71.43,3.5,4,15.51,1,15.51,8,8,8,8,3,3,1,,,,
ai_70.py,ai,AI,66.57,2.5,3,79.95,2.8,223.87,7,7,8,7,2,2,1,,,,
ai_73.py,ai,AI,65.28,6.5,7,38.05,2,76.11,12,11,11,11,6,6,1,,,,
ai_76.py,ai,AI,73.9,3.5,4,4.75,0.5,2.38,9,9,9,9,3,3,1,,,,
ai_79.py,ai,AI,61.16,4.5,5,122.62,3.08,377.3,12,12,12,12,4,4,1,,,,
ai_82.py,ai,AI,56.44,7.5,8,88.81,5,444.05,21,21,21,21,7,7,1,,,,
ai_85.py,ai,AI,55.22,6.5,7,224.01,8.5,1904.07,18,18,18,18,6,6,1,,,,
ai_88.py,ai,AI,60.37,4.5,5,53.77,1.67,89.62,15,15,17,15,4,4,1,,,,
