run_id,analysed_at,dataset,source_root,relative_path,file,folder,label,file_hash,mi,cc_avg,cc_max,functions,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,comments,blank
20260511_115335,11/05/2026 11:53,Hard,Human\Hard,flipping.py,flipping.py,Hard,Human,7e393deaf5cf,84.45,3,3,1,4.75,0.5,2.38,2,2,3,0,0
20260511_115335,11/05/2026 11:53,Hard,Human\Hard,hex.py,hex.py,Hard,Human,4f1235ef3854,100,2,2,1,0,0,0,6,6,7,0,0
20260511_115335,11/05/2026 11:53,Hard,Human\Hard,karaca.py,karaca.py,Hard,Human,7fd9601365a2,74.68,3,3,1,24,1.5,36,3,3,5,0,0
20260511_115335,11/05/2026 11:53,Hard,Human\Hard,snake.py,snake.py,Hard,Human,80f2b67e1a61,84.96,1,1,1,15.51,1,15.51,2,2,2,0,0
20260511_115414,11/05/2026 11:54,Very Hard,Human\Very Hard,ad_list_sort.py,ad_list_sort.py,Very Hard,Human,c5ffbb389f1f,71.18,4,4,1,4.75,0.5,2.38,12,12,12,0,0
20260511_115414,11/05/2026 11:54,Very Hard,Human\Very Hard,atbash.py,atbash.py,Very Hard,Human,3942493c804b,68.21,3,3,1,23.26,1.5,34.9,10,10,10,0,0
20260511_115414,11/05/2026 11:54,Very Hard,Human\Very Hard,palindrome_rec.py,palindrome_rec.py,Very Hard,Human,0bf0f148740c,69.44,5,5,1,43.19,2.67,115.16,6,6,7,0,0
20260511_115414,11/05/2026 11:54,Very Hard,Human\Very Hard,prime_factor.py,prime_factor.py,Very Hard,Human,8c362a35be3e,70.26,3,3,1,36,2.4,86.4,8,7,7,0,1
20260511_115436,11/05/2026 11:54,Expert,Human\Expert,bst.py,bst.py,Expert,Human,8bfe66ba2f15,56.99,4,5,4,72.34,3.33,241.13,21,19,20,0,2
20260511_115436,11/05/2026 11:54,Expert,Human\Expert,hash_juggle.py,hash_juggle.py,Expert,Human,8c5bbab76ae2,100,1,1,1,0,0,0,6,5,5,0,1
20260511_115436,11/05/2026 11:54,Expert,Human\Expert,keyword_cipher.py,keyword_cipher.py,Expert,Human,6adc90c60b7a,66.63,6,6,1,12,0.67,8,14,14,14,0,0
20260511_115436,11/05/2026 11:54,Expert,Human\Expert,lvl_ord_trav.py,lvl_ord_trav.py,Expert,Human,387e7f157930,67.48,3.5,8,6,62.27,3.43,213.5,43,37,37,3,3
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Average MI,75.965,,,,,,,,,
,,,,,,,,,,Average CC,5.5,,,,,,,,,
,,,,,,,,,,Average LOC,11.08333333,,,,,,,,,
,,,,,,,,,,Average Halstead(V):,33.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,291.1,,20,,146.61,,,84,,,,
